DOCUMENT_TYPE,FILER_NAME,FILER_CIK,FILING_INTERVAL,FILING_DATE,MENTIONED_FINANCIAL_ENTITY,PP_RSSD_ID,ROLE,THREE_SENTENCES,RATING_EXPERT_1,COMMENT_EXPERT_1,RATING_EXPERT_1,COMMENT_EXPERT_1
10-K,BANK OF AMERICA CORP,70858,2012-FY,2/28/2013,Equity Securities,,Issuer,"Mine Safety Disclosures 20 Part II Item 5. Market for Registrant?s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities 21 Item 6. Selected Financial Data 21 Item 7.",,,Irrelevant,
10-K,BANK OF AMERICA CORP,70858,2012-FY,2/28/2013,Equity Securities,,Issuer,"Mine Safety Disclosures None 20 Bank of America 2012 Part II Bank of America Corporation and Subsidiaries Item 5. Market for Registrant?s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities The principal market on which our common stock is traded is the New York Stock Exchange. Our common stock is also listed on the London Stock Exchange, and certain shares are listed on the Tokyo Stock Exchange.",,,Irrelevant,
10-K,BANK OF AMERICA CORP,70858,2012-FY,2/28/2013,BNY Mellon,,trustees,"These statements can be identified by the fact that they do not relate strictly to historical or current facts. Forward-looking statements often use words such as ""expects,"" ""anticipates,"" ""believes,"" ""estimates,"" ""targets,"" ""intends,"" ""plans,"" ""goal"" and other similar expressions or future or conditional verbs such as ""will,"" ""may,"" ""might,"" ""should,"" ""would"" and ""could."" The forward-looking statements made represent the current expectations, plans or forecasts of the Corporation regarding the Corporation?s future results and revenues, and future business and economic conditions more generally, including statements concerning: expectations regarding actions to be taken by the Federal Reserve; transfers of servicing rights scheduled to occur in stages over the course of 2013 with the delinquent loans scheduled to be transferred after the current loans; that the criteria for inclusion in the Legacy Assets & Servicing portfolios will continue to be evaluated over time; the expectation that approximately $200 million in servicing fees recognized per quarter related to servicing transferred will decrease throughout 2013 as the servicing is transferred and that over time the impact on earnings will be negligible as expenses are expected to also decrease after servicing is transferred, especially the loans which are 60 days or more past due; the expectation that liability management actions taken in the fourth quarter of 2012 will result in pre-tax net interest income benefit of approximately $350 million in 2013; effects of the FNMA Settlement and 2013 IFR Acceleration Agreement; the achievement of cost savings in certain noninterest expense categories as workflows continue to be streamlined, processes simplified and expenses aligned with the overall strategic plan and operating principles; projected New BAC Phase 1 annualized cost savings of more than $5 billion by the fourth quarter of 2013 with the full impact expected to be realized in 2014; the expectation that New ....",,,Highly relevant,
10-K,BANK OF AMERICA CORP,70858,2012-FY,2/28/2013,FNMA,,counterparties,"For additional information, see Off-Balance Sheet Arrangements and Contractual Obligations ? Other Mortgage-related Matters on page 61 . Sales of Mortgage Servicing Rights On January 6, 2013, Bank of America entered into definitive agreements with two different counterparties, and on February 19, 2013 with an additional counterparty to sell the servicing rights on certain residential mortgage loans serviced for FNMA, Freddie Mac (FHLMC), the Government National Mortgage Association (GNMA) and private-label securitizations, with an aggregate unpaid principal balance of approximately $317 billion. The sales involve approximately 2.1 million loans currently serviced by us, including approximately 234,000 residential mortgage loans and approximately 24,000 home equity loans that were 60 days or more past due at December 31, 2012.",,,Highly relevant,
10-K,BANK OF AMERICA CORP,70858,2012-FY,2/28/2013,Freddie Mac,,counterparties,"For additional information, see Off-Balance Sheet Arrangements and Contractual Obligations ? Other Mortgage-related Matters on page 61 . Sales of Mortgage Servicing Rights On January 6, 2013, Bank of America entered into definitive agreements with two different counterparties, and on February 19, 2013 with an additional counterparty to sell the servicing rights on certain residential mortgage loans serviced for FNMA, Freddie Mac (FHLMC), the Government National Mortgage Association (GNMA) and private-label securitizations, with an aggregate unpaid principal balance of approximately $317 billion. The sales involve approximately 2.1 million loans currently serviced by us, including approximately 234,000 residential mortgage loans and approximately 24,000 home equity loans that were 60 days or more past due at December 31, 2012.",,,Highly relevant,
10-K,BANK OF AMERICA CORP,70858,2012-FY,2/28/2013,Government National Mortgage Association,,counterparties,"For additional information, see Off-Balance Sheet Arrangements and Contractual Obligations ? Other Mortgage-related Matters on page 61 . Sales of Mortgage Servicing Rights On January 6, 2013, Bank of America entered into definitive agreements with two different counterparties, and on February 19, 2013 with an additional counterparty to sell the servicing rights on certain residential mortgage loans serviced for FNMA, Freddie Mac (FHLMC), the Government National Mortgage Association (GNMA) and private-label securitizations, with an aggregate unpaid principal balance of approximately $317 billion. The sales involve approximately 2.1 million loans currently serviced by us, including approximately 234,000 residential mortgage loans and approximately 24,000 home equity loans that were 60 days or more past due at December 31, 2012.",,,Highly relevant,
10-K,BANK OF AMERICA CORP,70858,2012-FY,2/28/2013,GNMA,,counterparties,"For additional information, see Off-Balance Sheet Arrangements and Contractual Obligations ? Other Mortgage-related Matters on page 61 . Sales of Mortgage Servicing Rights On January 6, 2013, Bank of America entered into definitive agreements with two different counterparties, and on February 19, 2013 with an additional counterparty to sell the servicing rights on certain residential mortgage loans serviced for FNMA, Freddie Mac (FHLMC), the Government National Mortgage Association (GNMA) and private-label securitizations, with an aggregate unpaid principal balance of approximately $317 billion. The sales involve approximately 2.1 million loans currently serviced by us, including approximately 234,000 residential mortgage loans and approximately 24,000 home equity loans that were 60 days or more past due at December 31, 2012.",,,Highly relevant,
10-K,BANK OF AMERICA CORP,70858,2012-FY,2/28/2013,Countrywide,,trustee,"Risk Factors . 54 Bank of America 2012 Representations and Warranties Bulk Settlement Actions We have settled, or entered into agreements to settle, certain bulk representations and warranties claims (1) with a trustee (the Trustee) for certain legacy Countrywide private-label securitization trusts (the BNY Mellon Settlement); (2) with two monoline insurers, Assured Guaranty Ltd. and subsidiaries (the Assured Guaranty Settlement), and Syncora Guarantee Inc. and Syncora Holdings, Ltd. (the Syncora Settlement), (3) with each of the GSEs in 2010 (2010 GSE Agreements), and (4) with FNMA pursuant to the FNMA Settlement in 2013. We have vigorously contested any request for repurchase when we conclude that a valid basis for repurchase does not exist and will continue to do so in the future.",,,Highly relevant,
10-K,BANK OF AMERICA CORP,70858,2012-FY,2/28/2013,BNY Mellon,,trustee,"Risk Factors . 54 Bank of America 2012 Representations and Warranties Bulk Settlement Actions We have settled, or entered into agreements to settle, certain bulk representations and warranties claims (1) with a trustee (the Trustee) for certain legacy Countrywide private-label securitization trusts (the BNY Mellon Settlement); (2) with two monoline insurers, Assured Guaranty Ltd. and subsidiaries (the Assured Guaranty Settlement), and Syncora Guarantee Inc. and Syncora Holdings, Ltd. (the Syncora Settlement), (3) with each of the GSEs in 2010 (2010 GSE Agreements), and (4) with FNMA pursuant to the FNMA Settlement in 2013. We have vigorously contested any request for repurchase when we conclude that a valid basis for repurchase does not exist and will continue to do so in the future.",,,Highly relevant,
10-K,BANK OF AMERICA CORP,70858,2012-FY,2/28/2013,Assured Guaranty Ltd.,,trustee,"Risk Factors . 54 Bank of America 2012 Representations and Warranties Bulk Settlement Actions We have settled, or entered into agreements to settle, certain bulk representations and warranties claims (1) with a trustee (the Trustee) for certain legacy Countrywide private-label securitization trusts (the BNY Mellon Settlement); (2) with two monoline insurers, Assured Guaranty Ltd. and subsidiaries (the Assured Guaranty Settlement), and Syncora Guarantee Inc. and Syncora Holdings, Ltd. (the Syncora Settlement), (3) with each of the GSEs in 2010 (2010 GSE Agreements), and (4) with FNMA pursuant to the FNMA Settlement in 2013. We have vigorously contested any request for repurchase when we conclude that a valid basis for repurchase does not exist and will continue to do so in the future.",,,Highly relevant,
