"DOCUMENT_TYPE","FILER_NAME","FILER_CIK","FILING_INTERVAL","FILING_DATE","MENTIONED_FINANCIAL_ENTITY","PP_RSSD_ID","ROLE","THREE_SENTENCES","RATING_EXPERT_9","COMMENT_EXPERT_9"
"10-K","BANK OF AMERICA CORP","70858","2014-FY","2/25/2015","Equity Securities","","Issuer","Mine Safety Disclosures 19 Part II Item 5. Market for Registrant?s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities 20 Item 6. Selected Financial Data 20 Item 7.","Irrelevant","Boilerplate.  ERROR: Equity Securities is not a FInEntity"
"10-K","BANK OF AMERICA CORP","70858","2014-FY","2/25/2015","Bank of New York Mellon","","trustee","As a result, our liability and estimated range of possible loss related to our representations and warranties exposures may materially change in the future. Additionally, if final court approval of the settlement with the Bank of New York Mellon, as trustee (BNY Mellon Settlement) is not obtained, or if the Corporation and legacy Countrywide Financial Corporation determine to withdraw from the BNY Mellon Settlement agreement in accordance with its terms, the Corporation?s future representations and warranties losses could be substantially different from existing accruals and the existing estimated range of possible loss. If future representations and warranties losses occur in excess of our recorded liability and estimated range of possible loss, such losses could have an adverse effect on our cash flows, financial condition and results of operations.","Highly relevant",""
"10-K","BANK OF AMERICA CORP","70858","2014-FY","2/25/2015","BNY Mellon","","trustee","As a result, our liability and estimated range of possible loss related to our representations and warranties exposures may materially change in the future. Additionally, if final court approval of the settlement with the Bank of New York Mellon, as trustee (BNY Mellon Settlement) is not obtained, or if the Corporation and legacy Countrywide Financial Corporation determine to withdraw from the BNY Mellon Settlement agreement in accordance with its terms, the Corporation?s future representations and warranties losses could be substantially different from existing accruals and the existing estimated range of possible loss. If future representations and warranties losses occur in excess of our recorded liability and estimated range of possible loss, such losses could have an adverse effect on our cash flows, financial condition and results of operations.","Highly relevant",""
"10-K","BANK OF AMERICA CORP","70858","2014-FY","2/25/2015","Countrywide Financial Corporation","","trustee","As a result, our liability and estimated range of possible loss related to our representations and warranties exposures may materially change in the future. Additionally, if final court approval of the settlement with the Bank of New York Mellon, as trustee (BNY Mellon Settlement) is not obtained, or if the Corporation and legacy Countrywide Financial Corporation determine to withdraw from the BNY Mellon Settlement agreement in accordance with its terms, the Corporation?s future representations and warranties losses could be substantially different from existing accruals and the existing estimated range of possible loss. If future representations and warranties losses occur in excess of our recorded liability and estimated range of possible loss, such losses could have an adverse effect on our cash flows, financial condition and results of operations.","Highly relevant","Countrywide is issuer of the referred to loans, and is being sued by the trustee"
"10-K","BANK OF AMERICA CORP","70858","2014-FY","2/25/2015","BNY Mellon","","trustee","As a result, our liability and estimated range of possible loss related to our representations and warranties exposures may materially change in the future. Additionally, if final court approval of the settlement with the Bank of New York Mellon, as trustee (BNY Mellon Settlement) is not obtained, or if the Corporation and legacy Countrywide Financial Corporation determine to withdraw from the BNY Mellon Settlement agreement in accordance with its terms, the Corporation?s future representations and warranties losses could be substantially different from existing accruals and the existing estimated range of possible loss. If future representations and warranties losses occur in excess of our recorded liability and estimated range of possible loss, such losses could have an adverse effect on our cash flows, financial condition and results of operations.","Highly relevant",""
"10-K","BANK OF AMERICA CORP","70858","2014-FY","2/25/2015","Bank of America","","servicer","For more information regarding the BNY Mellon Settlement, see Note 7 ? Representations and Warranties Obligations and Corporate Guarantees to the Consolidated Financial Statements . 11 Bank of America 2014 Failure to satisfy our obligations as servicer for residential mortgage securitizations, along with other losses we could incur in our capacity as servicer, and continued foreclosure delays and/or investigations into our residential mortgage foreclosure practices could cause losses. We and our legacy companies have securitized a significant portion of the residential mortgage loans that we originated or acquired.","Highly relevant",""
"10-K","BANK OF AMERICA CORP","70858","2014-FY","2/25/2015","Equity Securities","","Issuer","MineSafety Disclosures None 19 Bank of America 2014 Part II Bank of America Corporation and Subsidiaries Item 5. Market for Registrant?s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities The principal market on which our common stock is traded is the New York Stock Exchange. Our common stock is also listed on the London Stock Exchange, and certain shares are listed on the Tokyo Stock Exchange.","Irrelevant","Boilerplate.  ERROR: Equity Securities not a FinEntity"
"10-K","BANK OF AMERICA CORP","70858","2014-FY","2/25/2015","BNY Mellon","","counterparties","You should not place undue reliance on any forward-looking statement and should consider the following uncertainties and risks, as well as the risks and uncertainties more fully discussed elsewhere in this report, including under Item 1A. Risk Factors of this Annual Report on Form 10-K and in any of the Corporation?s subsequent Securities and Exchange Commission filings for further information about factors that could affect such forward-looking statements: the Corporation ? s ability to resolve representations and warranties repurchase claims and the chance that the Corporation could face related servicing, securities, fraud, indemnity or other claims from one or more counterparties, including monolines or private-label and other investors; the possibility that final court approval of negotiated settlements is not obtained, including the possibility that the court decision with respect to the BNY Mellon Settlement is overturned on appeal in whole or in part; the possibility that future representations and warranties losses may occur in excess of the Corporation ? s recorded liability and estimated range of possible loss for its representations and warranties exposures; the possibility that the Corporation may not collect mortgage insurance claims; potential claims, damages, penalties, fines and reputational damage resulting from pending or future litigation and regulatory proceedings, including the possibility that amounts may be in excess of the Corporation?s recorded liability and estimated range of possible losses for litigation exposures; the possibility that the European Commission will impose remedial measures in relation to its investigation of the Corporation ? s competitive practices; the possible outcome of LIBOR, other reference rate and foreign exchange inquiries and investigations; uncertainties about the financial stability and growth rates of non-U.S. jurisdictions, the risk that those jurisdictions may face difficulties servicing their sovereign deb....","Highly relevant",""
"10-K","BANK OF AMERICA CORP","70858","2014-FY","2/25/2015","Bank of New York Mellon","","trustee","We have vigorously contested any request for repurchase when we conclude that a valid basis for repurchase does not exist and will continue to do so in the future. However, in an effort to resolve these legacy mortgage-related issues, we have reached settlements, certain of which have been for significant amounts, in lieu of a loan-by-loan review process, including with the GSEs, four monoline insurers and Bank of New York Mellon (BNY Mellon), as trustee. The settlement with BNY Mellon (BNY Mellon Settlement) remains subject to final court approval and certain other conditions.","Highly relevant",""
"10-K","BANK OF AMERICA CORP","70858","2014-FY","2/25/2015","BNY Mellon","","trustee","We have vigorously contested any request for repurchase when we conclude that a valid basis for repurchase does not exist and will continue to do so in the future. However, in an effort to resolve these legacy mortgage-related issues, we have reached settlements, certain of which have been for significant amounts, in lieu of a loan-by-loan review process, including with the GSEs, four monoline insurers and Bank of New York Mellon (BNY Mellon), as trustee. The settlement with BNY Mellon (BNY Mellon Settlement) remains subject to final court approval and certain other conditions.","Highly relevant",""
