"DOCUMENT_TYPE","FILER_NAME","FILER_CIK","FILING_INTERVAL","FILING_DATE","MENTIONED_FINANCIAL_ENTITY","PP_RSSD_ID","ROLE","THREE_SENTENCES","RATING_EXPERT_1","COMMENT_EXPERT_1"
"10-K","COMERICA INC","28412","2015-FY","2/26/2016","Equity Securities","","Issuer","20     PART II 20     Item 5. Market for Registrant's Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities. 20     Item 6.","Irrelevant",""
"10-K","COMERICA INC","28412","2015-FY","2/26/2016","Comerica","","Affiliates","Further, the effectiveness of Comerica and its subsidiaries in complying with anti-money laundering regulations (discussed below) is also taken into account by the FRB when considering applications for approval of acquisitions. Transactions with Affiliates Various governmental requirements, including Sections 23A and 23B of the Federal Reserve Act and the FRB's Regulation W, limit borrowings by Comerica and its nonbank subsidiaries from its affiliate insured depository institutions, and also limit various other transactions between Comerica and its nonbank subsidiaries, on the one hand, and Comerica's affiliate insured depository institutions, on the other. For example, Section 23A of the Federal Reserve Act limits the aggregate outstanding amount of any insured depository institution's loans and other “covered transactions” with any particular nonbank affiliate to no more than 10% of the institution's total capital and limits the aggregate outstanding amount of any insured depository institution's covered transactions with all of its nonbank affiliates to no more than 20% of its total capital.","Relevant","Lines 3 through 5. Potentially relevant. Potentially related to a money laundering issue. Could also be boilerplate text."
"10-K","COMERICA INC","28412","2015-FY","2/26/2016","Comerica","","Affiliates","Further, the effectiveness of Comerica and its subsidiaries in complying with anti-money laundering regulations (discussed below) is also taken into account by the FRB when considering applications for approval of acquisitions. Transactions with Affiliates Various governmental requirements, including Sections 23A and 23B of the Federal Reserve Act and the FRB's Regulation W, limit borrowings by Comerica and its nonbank subsidiaries from its affiliate insured depository institutions, and also limit various other transactions between Comerica and its nonbank subsidiaries, on the one hand, and Comerica's affiliate insured depository institutions, on the other. For example, Section 23A of the Federal Reserve Act limits the aggregate outstanding amount of any insured depository institution's loans and other “covered transactions” with any particular nonbank affiliate to no more than 10% of the institution's total capital and limits the aggregate outstanding amount of any insured depository institution's covered transactions with all of its nonbank affiliates to no more than 20% of its total capital.","Relevant",""
"10-K","COMERICA INC","28412","2015-FY","2/26/2016","Comerica","","affiliate","Further, the effectiveness of Comerica and its subsidiaries in complying with anti-money laundering regulations (discussed below) is also taken into account by the FRB when considering applications for approval of acquisitions. Transactions with Affiliates Various governmental requirements, including Sections 23A and 23B of the Federal Reserve Act and the FRB's Regulation W, limit borrowings by Comerica and its nonbank subsidiaries from its affiliate insured depository institutions, and also limit various other transactions between Comerica and its nonbank subsidiaries, on the one hand, and Comerica's affiliate insured depository institutions, on the other. For example, Section 23A of the Federal Reserve Act limits the aggregate outstanding amount of any insured depository institution's loans and other “covered transactions” with any particular nonbank affiliate to no more than 10% of the institution's total capital and limits the aggregate outstanding amount of any insured depository institution's covered transactions with all of its nonbank affiliates to no more than 20% of its total capital.","Relevant",""
"10-K","COMERICA INC","28412","2015-FY","2/26/2016","New York, New York","","affiliates","Of the 604 locations, 236 were owned and 368 were leased. As of December 31, 2015 , affiliates also operated from leased spaces in Denver, Colorado; Wilmington, Delaware; Oakbrook Terrace, Illinois; Boston, Massachusetts; Minneapolis, Minnesota; Morristown, New Jersey; New York, New York; Rocky Mount and Cary, North Carolina; Memphis, Tennessee; McLean, Virginia; Bellevue and Seattle, Washington; Monterrey, Mexico; Toronto, Ontario, Canada and Windsor, Ontario, Canada. Comerica and its subsidiaries own, among other properties, a check processing center in Livonia, Michigan, and three buildings in Auburn Hills, Michigan, used mainly for lending functions and operations.","Relevant","Relevant. Details about locations / properties and leasing or ownership."
"10-K","COMERICA INC","28412","2015-FY","2/26/2016","Equity Securities","","Issuer","PART II Item 5.  Market for Registrant’s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities. Market Information and Holders of Common Stock The common stock of Comerica Incorporated is traded on the New York Stock Exchange (NYSE Trading Symbol: CMA).","Irrelevant",""
"10-K","COMERICA INC","28412","2015-FY","2/26/2016","Comerica","","Issuer","Performance Graph Our performance graph is available under the caption ""Performance Graph"" on page F-2 of the Financial Section of this report. 20 Table of Contents Purchases of Equity Securities by the Issuer and Affiliated Purchasers On April 28, 2015, the Board of Directors of Comerica authorized the repurchase of up to an additional 10.0 million shares of Comerica Incorporated outstanding common stock, in addition to the 2.1 million shares remaining at March 31, 2015 under the Board's prior authorizations for the equity repurchase program initially approved in November 2010. Including the April 28, 2015 authorization, a total of 40.3 million shares has been authorized for repurchase under the equity repurchase program since its inception in 2010.","",""
"10-K","COMERICA INC","28412","2015-FY","2/26/2016","Comerica Incorporated","","Issuer","Performance Graph Our performance graph is available under the caption ""Performance Graph"" on page F-2 of the Financial Section of this report. 20 Table of Contents Purchases of Equity Securities by the Issuer and Affiliated Purchasers On April 28, 2015, the Board of Directors of Comerica authorized the repurchase of up to an additional 10.0 million shares of Comerica Incorporated outstanding common stock, in addition to the 2.1 million shares remaining at March 31, 2015 under the Board's prior authorizations for the equity repurchase program initially approved in November 2010. Including the April 28, 2015 authorization, a total of 40.3 million shares has been authorized for repurchase under the equity repurchase program since its inception in 2010.","",""
"10-K","COMERICA INC","28412","2015-FY","2/26/2016","Wells Fargo Bank, N.A.","","Agent","4.3   Warrant Agreement, dated as of June 9, 2010, between Comerica Incorporated (as successor to Sterling Bancshares, Inc.) and American Stock Transfer & Trust Company, LLC (filed as Exhibit 4.1 to Sterling Bancshares, Inc.'s Registration Statement on Form 8-A12B filed on June 10, 2010 (File No. 001-34768) and incorporated herein by reference).       4.3A   Appointment of Wells Fargo Bank, N.A. as successor Warrant Agent under the Warrant Agreement, dated as of June 9, 2010, of Comerica Incorporated (as successor to Sterling Bancshares, Inc.) (filed as Exhibit 4.1 to Registrant's Quarterly Report on Form 10-Q for the quarter ended September 30, 2015, and incorporated herein by reference).       4.4   Form of Warrant (filed as Exhibit 4.2 to Registrant's Registration Statement on Form S-4 (File No. 333-172211), and incorporated herein by reference).","Relevant","Lines 11 through 13. Rlevant to a warrant. Unclear if the warrant is connected to Comerica shares."
"10-K","COMERICA INC","28412","2015-FY","2/26/2016","Comerica Incorporated","","Agent","4.3   Warrant Agreement, dated as of June 9, 2010, between Comerica Incorporated (as successor to Sterling Bancshares, Inc.) and American Stock Transfer & Trust Company, LLC (filed as Exhibit 4.1 to Sterling Bancshares, Inc.'s Registration Statement on Form 8-A12B filed on June 10, 2010 (File No. 001-34768) and incorporated herein by reference).       4.3A   Appointment of Wells Fargo Bank, N.A. as successor Warrant Agent under the Warrant Agreement, dated as of June 9, 2010, of Comerica Incorporated (as successor to Sterling Bancshares, Inc.) (filed as Exhibit 4.1 to Registrant's Quarterly Report on Form 10-Q for the quarter ended September 30, 2015, and incorporated herein by reference).       4.4   Form of Warrant (filed as Exhibit 4.2 to Registrant's Registration Statement on Form S-4 (File No. 333-172211), and incorporated herein by reference).","Relevant",""
