DOCUMENT_TYPE,FILER_NAME,FILER_CIK,FILING_INTERVAL,FILING_DATE,MENTIONED_FINANCIAL_ENTITY,PP_RSSD_ID,ROLE,THREE_SENTENCES,RATING_EXPERT_10,COMMENT_EXPERT_10,RATING_EXPERT_7,COMMENT_EXPERT_7,RATING_EXPERT_1,COMMENT_EXPERT_1,RATING_EXPERT_1,COMMENT_EXPERT_1
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third,,agents,"Additionally, substantial losses in Fifth Third?s trading and investment positions could lead to a loss with respect to those investments and may adversely
affect cash flows and funding costs. The removal or reduction in stimulus activities sponsored by the Federal Government and its
agents may have a negative impact on Fifth Third?s results and operations. The Federal Government has intervened in an
unprecedented manner to stimulate economic growth.",,,Relevant,Agent action to mitigate losses,,,Relevant,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third,,counterparties,"Other conditions and factors that could materially adversely affect Fifth Third?s liquidity and funding
include a lack of market or customer confidence in Fifth Third or negative news about Fifth Third or the financial services industry generally which also may result in a loss of deposits and/or negatively affect the ability to access the capital
markets; the loss of customer deposits to alternative investments; inability to sell or securitize loans or other assets, increased regulatory requirements, and reductions in one or more of Fifth Third?s credit ratings. A reduced credit rating
could adversely affect Fifth Third?s ability to borrow funds and raise the cost of borrowings substantially and could cause creditors and business counterparties to raise collateral requirements or take other actions that could adversely affect
Fifth Third?s ability to raise capital. Many of the above conditions and factors may be caused by events over which Fifth Third has little or no control such as what occurred during the financial crisis.",,,Relevant,General business conditions and risks,,,Relevant,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third,,affiliates,"The extent to which Fifth Third can adjust its strategies to offset such adverse impacts also is not
known at this time. Fifth Third and/or its affiliates are or may become the subject of litigation which could result in legal
liability and damage to Fifth Third?s reputation. Fifth Third and certain of its directors and officers have been named from
time to time as defendants in various class actions and other litigation relating to Fifth Third?s business and activities.",Relevant,,,"Non-specific, names of responsible parties?",,,Highly relevant,Acknowledges restrictions on adjusting strategies
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Senior Debt,,Trustee,"The notes
are not subject to redemption at the Bancorp?s option at any time prior to maturity. On March 7, 2012, the
Bancorp issued $500 million of senior notes to third party investors, and entered into a Supplemental Indenture dated March 7, 2012 with the Trustee, which modified the existing Indenture for Senior Debt Securities dated April 30, 2008.
The Supplemental Indenture and the Indenture define the rights of the senior notes, which senior notes are represented by a Global Security dated as of March 7, 2012.",,,Highly relevant,Change in liaibility,,,Relevant,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third Bank,,Trustee,"the Bancorp?s common stock cannot exceed ten percent of the fair value of plan assets.
Fifth Third Bank, as Trustee, is expected to manage the plan assets in a manner consistent with the plan agreement and other
regulatory, federal and state laws. The Fifth Third Bank Pension, Profit Sharing and Medical Plan Committee (the ?Committee?) is the plan administrator.",,,Neutral,General business activity,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Equity Securities,,Issuer,"Item 5.
Market for Registrant?s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities
182",,,Irrelevant,,,,Irrelevant,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third Bank,,Affiliate,"Executive Vice President of Corporate Services & Board Secretary of the Bancorp since July 2013. Previously, Ms. Tuuk served as Affiliate President of Fifth Third Bank (Western Michigan) from November 2011 to June 2013.
Prior to that, Ms. Tuuk was the Executive Vice President and Chief Risk Officer of the Bancorp from June 2007 to October 2011 and from July 2013 through September 2013.",,,Neutral,Description of executive experience,,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,EQUITY SECURITIES,,ISSUER,"PART II
ITEM 5. MARKET FOR REGISTRANT?S COMMON EQUITY, RELATED STOCKHOLDER MATTERS AND ISSUER PURCHASES OF EQUITY SECURITIES
The Bancorp?s common stock is traded in the over-the-counter market and is listed under the symbol ?FITB? on the NASDAQ ? Global Select Market System.High and Low Stock Prices and Dividends Paid Per Share",,,Relevant,General business with limited value,,,Neutral,States wehre shares are traded and the company's stock symbol
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Equity Securities,,Issuer,"Additionally, as of December 31, 2013, the Bancorp had 49,524 shareholders of record.Issuer Purchases of Equity Securities
Period",,,Relevant,Limited value,Relevant,,Neutral,
10-K,FIFTH THIRD BANCORP,35527,2013-FY,2/24/2014,Fifth Third Bancorp,,Trustee,"4.1
Junior Subordinated Indenture, dated as of March 20, 1997 between Fifth Third Bancorp and Wilmington Trust Company, as Debenture Trustee. Incorporated by
reference to Registrant?s Current Report on Form 8-K filed with the Securities and Exchange Commission on March 26, 1997.",,,Neutral,Names trustee,,,Neutral,
