"DOCUMENT_TYPE","FILER_NAME","FILER_CIK","FILING_INTERVAL","FILING_DATE","MENTIONED_FINANCIAL_ENTITY","PP_RSSD_ID","ROLE","THREE_SENTENCES","RATING_EXPERT_2","COMMENT_EXPERT_2"
"10-K","GENERAL ELECTRIC CO","40545","2012-FY","2/26/2013","Equity Securities","","Issuer","Item 5. Market for Registrant?s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity SecuritiesWith respect to ""Market Information,"" in the United States, GE common stock is listed on the New York Stock Exchange (its principal market).","Irrelevant","-1.-1.-1 (Equity Securities is not a financial entity)"
"10-K","GENERAL ELECTRIC CO","40545","2012-FY","2/26/2013","General Electric Capital Corporation","","affiliates","Financial data and related measurements are presented in the following categories:GE ? This represents the adding together of all affiliates other than General Electric Capital Corporation (GECC), whose continuing operations are presented on a one-line basis, giving effect to the elimination of transactions among such affiliates.GECC ? This represents the adding together of all affiliates of GECC, giving effect to the elimination of transactions among such affiliates.","Neutral","-1.0.0"
"10-K","GENERAL ELECTRIC CO","40545","2012-FY","2/26/2013","WMC","","trustees","Historically, a small percentage of the total loans WMC originated and sold have qualified as ""validly tendered,"" meaning the loans sold did not satisfy contractual obligations. The volume of claims since the second quarter of 2012 reflects increased industry-wide activity by securitization trustees and investors in residential mortgage-backed securities (RMBS) issued in 2006 and 2007, and, WMC believes, reflect applicable statutes of limitations considerations.Reserves related to WMC pending claims were $633 million at December 31, 2012, reflecting an increase to reserves","Neutral","0.0.-1 (WMC is not in the role of trustees).  Qualified role names: securitization trustees"
"10-K","GENERAL ELECTRIC CO","40545","2012-FY","2/26/2013","WMC","","trustees","For example, a 50% increase to the estimate of future loan repurchase requests and a 100% increase to the estimated loss rate on loans tendered, would result in an increase to the reserves of approximately $700 million.WMC is a party to 15 lawsuits involving repurchase claims on loans included in 12 securitizations in which the adverse parties are securitization trustees or parties claiming to act on their behalf, four of which were initiated by WMC. In eight of these lawsuits, the adverse parties allege that WMC is contractually required to repurchase mortgage loans beyond those included in WMC?s previously discussed pending claims at December 31, 2012 (Litigation Claims).","Neutral","0.0.0 (WMC is not in the role of trustees).  Qualified role names: securitization trustees"
"10-K","GENERAL ELECTRIC CO","40545","2012-FY","2/26/2013","The Bank of New York Mellon","","trustee","4(b)Third Amended and Restated Indenture dated as of February 27, 1997, between GECC and The Bank of New York Mellon, as successor trustee (Incorporated by reference to Exhibit 4(c) to GECC?s Registration Statement on Form S-3, File No. 333-59707 (Commission file number 001-06461)).4(c)","Neutral","0.-1.-1.  Qualified role names: successor trustee"
"10-K","GENERAL ELECTRIC CO","40545","2012-FY","2/26/2013","General Electric","","trustee","4(g)Senior Note Indenture dated as of January 1, 2003, between General Electric and The Bank of New York Mellon, as trustee for the senior debt securities (Incorporated by reference to Exhibit 4(a) to General Electric?s Current Report on Form 8-K filed on January 29, 2003 (Commission file number 001-00035)).4(h)","Neutral","0.-1.-1 (General Electric is not in the role of trustee)"
"10-K","GENERAL ELECTRIC CO","40545","2012-FY","2/26/2013","The Bank of New York Mellon","","trustee","4(g)Senior Note Indenture dated as of January 1, 2003, between General Electric and The Bank of New York Mellon, as trustee for the senior debt securities (Incorporated by reference to Exhibit 4(a) to General Electric?s Current Report on Form 8-K filed on January 29, 2003 (Commission file number 001-00035)).4(h)","Neutral","0.-1.-1"
"10-K","GENERAL ELECTRIC CO","40545","2012-FY","2/26/2013","General Electric","","trustee","4(g)Senior Note Indenture dated as of January 1, 2003, between General Electric and The Bank of New York Mellon, as trustee for the senior debt securities (Incorporated by reference to Exhibit 4(a) to General Electric?s Current Report on Form 8-K filed on January 29, 2003 (Commission file number 001-00035)).4(h)","Neutral","0.-1.-1 (General Electric is not in the role of trustee)"
"10-K","GENERAL ELECTRIC CO","40545","2012-FY","2/26/2013","General Electric","","trustee","4(h)Indenture dated December 1, 2005, between General Electric and The Bank of New York Mellon, as successor trustee (Incorporated by reference to Exhibit 4(a) of General Electric?s Current Report on Form 8-K filed on December 9, 2005 (Commission file number 001-00035)).4(i)","Neutral","0.-1.-1 (General Electric is not in the role of trustee).  Qualified role names: successor trustee"
"10-K","GENERAL ELECTRIC CO","40545","2012-FY","2/26/2013","The Bank of New York Mellon","","trustee","4(h)Indenture dated December 1, 2005, between General Electric and The Bank of New York Mellon, as successor trustee (Incorporated by reference to Exhibit 4(a) of General Electric?s Current Report on Form 8-K filed on December 9, 2005 (Commission file number 001-00035)).4(i)","Neutral","0.-1.-1.  Qualified role names: successor trustee"
