"DOCUMENT_TYPE","FILER_NAME","FILER_CIK","FILING_INTERVAL","FILING_DATE","MENTIONED_FINANCIAL_ENTITY","PP_RSSD_ID","ROLE","THREE_SENTENCES","RATING_EXPERT_10","COMMENT_EXPERT_10","RATING_EXPERT_2","COMMENT_EXPERT_2","RATING_EXPERT_1","COMMENT_EXPERT_1"
"10-K","JPMORGAN CHASE & CO","19617","2015-FY","2/23/2016","EQUITY SECURITIES Market","","ISSUER","ITEM 4: MINE SAFETY DISCLOSURES Not applicable.     19 Part II ITEM 5: MARKET FOR REGISTRANT’S COMMON EQUITY, RELATED STOCKHOLDER MATTERS AND ISSUER PURCHASES OF EQUITY SECURITIES Market for registrant’s common equity The outstanding shares of JPMorgan Chase common stock are listed and traded on the New York Stock Exchange and the London Stock Exchange. For the quarterly high and low prices of and cash dividends declared on JPMorgan Chase’s common stock for the last two years, see the section entitled “Supplementary information – Selected quarterly financial data (unaudited)” on pages 309–310 .","","","Irrelevant","-1.-1.-1 (Equity Securities Market is not a financial entity, and not in the role of issuer)","Irrelevant",""
"10-K","JPMORGAN CHASE & CO","19617","2015-FY","2/23/2016","JPMorgan Chase","","ISSUER","ITEM 4: MINE SAFETY DISCLOSURES Not applicable.     19 Part II ITEM 5: MARKET FOR REGISTRANT’S COMMON EQUITY, RELATED STOCKHOLDER MATTERS AND ISSUER PURCHASES OF EQUITY SECURITIES Market for registrant’s common equity The outstanding shares of JPMorgan Chase common stock are listed and traded on the New York Stock Exchange and the London Stock Exchange. For the quarterly high and low prices of and cash dividends declared on JPMorgan Chase’s common stock for the last two years, see the section entitled “Supplementary information – Selected quarterly financial data (unaudited)” on pages 309–310 .","","","Neutral","-1.0.0","Irrelevant",""
"10-K","JPMORGAN CHASE & CO","19617","2015-FY","2/23/2016","JPMorgan Chase & Co.","","Trustee","24     3.18   By-laws of JPMorgan Chase & Co., effective January 19, 2016 (incorporated by reference to Exhibit 3.1 to the Current Report on Form 8-K of JPMorgan Chase & Co. (File No. 1-5805) filed January 21, 2016).       4.1   Indenture, dated as of October 21, 2010, between JPMorgan Chase & Co. and Deutsche Bank Trust Company Americas, as Trustee (incorporated by reference to Exhibit 4.1 to the Current Report on Form 8-K of JPMorgan Chase & Co. (File No.1-5805) filed October 21, 2010).       4.2   Subordinated Indenture, dated as of March 14, 2014, between JPMorgan Chase & Co. and U.S. Bank Trust National Association, as Trustee (incorporated by reference to Exhibit 4.1 to the Current Report on Form 8-K of JPMorgan Chase & Co. (File No.1-5805) filed March 14, 2014).","","","Neutral","0.0.0 (JP Morgan Chase is not in the role of Trustee)","Neutral",""
"10-K","JPMORGAN CHASE & CO","19617","2015-FY","2/23/2016","Deutsche Bank Trust Company Americas","","Trustee","24     3.18   By-laws of JPMorgan Chase & Co., effective January 19, 2016 (incorporated by reference to Exhibit 3.1 to the Current Report on Form 8-K of JPMorgan Chase & Co. (File No. 1-5805) filed January 21, 2016).       4.1   Indenture, dated as of October 21, 2010, between JPMorgan Chase & Co. and Deutsche Bank Trust Company Americas, as Trustee (incorporated by reference to Exhibit 4.1 to the Current Report on Form 8-K of JPMorgan Chase & Co. (File No.1-5805) filed October 21, 2010).       4.2   Subordinated Indenture, dated as of March 14, 2014, between JPMorgan Chase & Co. and U.S. Bank Trust National Association, as Trustee (incorporated by reference to Exhibit 4.1 to the Current Report on Form 8-K of JPMorgan Chase & Co. (File No.1-5805) filed March 14, 2014).","","","Neutral","0.0.0","Neutral",""
"10-K","JPMORGAN CHASE & CO","19617","2015-FY","2/23/2016","JPMorgan Chase & Co.","","Trustee","24     3.18   By-laws of JPMorgan Chase & Co., effective January 19, 2016 (incorporated by reference to Exhibit 3.1 to the Current Report on Form 8-K of JPMorgan Chase & Co. (File No. 1-5805) filed January 21, 2016).       4.1   Indenture, dated as of October 21, 2010, between JPMorgan Chase & Co. and Deutsche Bank Trust Company Americas, as Trustee (incorporated by reference to Exhibit 4.1 to the Current Report on Form 8-K of JPMorgan Chase & Co. (File No.1-5805) filed October 21, 2010).       4.2   Subordinated Indenture, dated as of March 14, 2014, between JPMorgan Chase & Co. and U.S. Bank Trust National Association, as Trustee (incorporated by reference to Exhibit 4.1 to the Current Report on Form 8-K of JPMorgan Chase & Co. (File No.1-5805) filed March 14, 2014).","","","Neutral","0.0.0 (JP Morgan Chase is not in the role of Trustee)","Neutral",""
"10-K","JPMORGAN CHASE & CO","19617","2015-FY","2/23/2016","U.S. Bank Trust National Association","","Trustee","4.1   Indenture, dated as of October 21, 2010, between JPMorgan Chase & Co. and Deutsche Bank Trust Company Americas, as Trustee (incorporated by reference to Exhibit 4.1 to the Current Report on Form 8-K of JPMorgan Chase & Co. (File No.1-5805) filed October 21, 2010).       4.2   Subordinated Indenture, dated as of March 14, 2014, between JPMorgan Chase & Co. and U.S. Bank Trust National Association, as Trustee (incorporated by reference to Exhibit 4.1 to the Current Report on Form 8-K of JPMorgan Chase & Co. (File No.1-5805) filed March 14, 2014).       4.3   Indenture, dated as of May 25, 2001, between JPMorgan Chase & Co. and Bankers Trust Company (succeeded by Deutsche Bank Trust Company Americas), as Trustee (incorporated by reference to Exhibit 4(a)(1) to the Registration Statement on Form S-3 of JPMorgan Chase & Co. (File No. 333-52826) filed June 13, 2001).","","","Neutral","0.0.0","Neutral",""
"10-K","JPMORGAN CHASE & CO","19617","2015-FY","2/23/2016","JPMorgan Chase & Co.","","Trustee","4.1   Indenture, dated as of October 21, 2010, between JPMorgan Chase & Co. and Deutsche Bank Trust Company Americas, as Trustee (incorporated by reference to Exhibit 4.1 to the Current Report on Form 8-K of JPMorgan Chase & Co. (File No.1-5805) filed October 21, 2010).       4.2   Subordinated Indenture, dated as of March 14, 2014, between JPMorgan Chase & Co. and U.S. Bank Trust National Association, as Trustee (incorporated by reference to Exhibit 4.1 to the Current Report on Form 8-K of JPMorgan Chase & Co. (File No.1-5805) filed March 14, 2014).       4.3   Indenture, dated as of May 25, 2001, between JPMorgan Chase & Co. and Bankers Trust Company (succeeded by Deutsche Bank Trust Company Americas), as Trustee (incorporated by reference to Exhibit 4(a)(1) to the Registration Statement on Form S-3 of JPMorgan Chase & Co. (File No. 333-52826) filed June 13, 2001).","","","Neutral","0.0.0 (JP Morgan Chase is not in the role of Trustee)","Neutral",""
"10-K","JPMORGAN CHASE & CO","19617","2015-FY","2/23/2016","Deutsche Bank Trust Company Americas","","Trustee","4.2   Subordinated Indenture, dated as of March 14, 2014, between JPMorgan Chase & Co. and U.S. Bank Trust National Association, as Trustee (incorporated by reference to Exhibit 4.1 to the Current Report on Form 8-K of JPMorgan Chase & Co. (File No.1-5805) filed March 14, 2014).       4.3   Indenture, dated as of May 25, 2001, between JPMorgan Chase & Co. and Bankers Trust Company (succeeded by Deutsche Bank Trust Company Americas), as Trustee (incorporated by reference to Exhibit 4(a)(1) to the Registration Statement on Form S-3 of JPMorgan Chase & Co. (File No. 333-52826) filed June 13, 2001). 4.4   Form of Deposit Agreement (incorporated by reference to Exhibit 4.3 to the Registration Statement on Form S-3 of JPMorgan Chase & Co. (File No. 333-191692) filed October 11, 2013).","","","Neutral","0.0.0","Neutral",""
"10-K","JPMORGAN CHASE & CO","19617","2015-FY","2/23/2016","JPMorgan Chase & Co.","","Trustee","4.2   Subordinated Indenture, dated as of March 14, 2014, between JPMorgan Chase & Co. and U.S. Bank Trust National Association, as Trustee (incorporated by reference to Exhibit 4.1 to the Current Report on Form 8-K of JPMorgan Chase & Co. (File No.1-5805) filed March 14, 2014).       4.3   Indenture, dated as of May 25, 2001, between JPMorgan Chase & Co. and Bankers Trust Company (succeeded by Deutsche Bank Trust Company Americas), as Trustee (incorporated by reference to Exhibit 4(a)(1) to the Registration Statement on Form S-3 of JPMorgan Chase & Co. (File No. 333-52826) filed June 13, 2001). 4.4   Form of Deposit Agreement (incorporated by reference to Exhibit 4.3 to the Registration Statement on Form S-3 of JPMorgan Chase & Co. (File No. 333-191692) filed October 11, 2013).","","","Neutral","0.0.0 (JP Morgan Chase is not in the role of Trustee)","Neutral",""
"10-K","JPMORGAN CHASE & CO","19617","2015-FY","2/23/2016","JPMorgan Chase Bank, N.A.","","issuer","Additionally in May 2015, Fitch changed its bank ratings methodology, implementing ratings differentiation between bank holding companies and their bank subsidiaries. This resulted in a one notch upgrade to the issuer ratings, senior debt ratings and long-term deposit ratings of JPMorgan Chase Bank, N.A., and certain other subsidiaries. In December 2015, S&P removed from its ratings for U.S. GSIBs the uplift assumption due to extraordinary government support.","","","Relevant","1.1.1","Relevant",""
