DOCUMENT_TYPE,FILER_NAME,FILER_CIK,FILING_INTERVAL,FILING_DATE,MENTIONED_FINANCIAL_ENTITY,PP_RSSD_ID,ROLE,THREE_SENTENCES,RATING_EXPERT_1,COMMENT_EXPERT_1,RATING_EXPERT_1,COMMENT_EXPERT_1
10-K,MORGAN STANLEY,895421,2014-FY,3/2/2015,"Morgan Stanley Private Bank, National Association",,affiliates,"In addition, Wealth Management offers education savings programs, financial and wealth planning
services, and annuity and other insurance products. In addition,
Wealth Management offers its clients access to several cash management services through various banks and other third parties, including deposits, debit cards, electronic bill payments and check writing, as well as lending products through
affiliates such as MSBNA and Morgan Stanley Private Bank, National Association (?MSPBNA? and, together with MSBNA, the ?U.S. Subsidiary Banks?), including securities-based lending, mortgage loans and home equity lines of credit.
Wealth Management also offers access to trust and fiduciary services, offers access to cash management and commercial credit solutions to qualified small- and medium-sized businesses in the U.S., and provides individual and corporate retirement
solutions, including individual retirement accounts and 401(k) plans and U.S. and global stock plan services to corporate executives and businesses.",Neutral,Describes business activity,,
10-K,MORGAN STANLEY,895421,2014-FY,3/2/2015,Morgan Stanley Smith Barney LLC,,affiliate,"MSBNA is an FDIC-insured national
bank that is subject to supervision, regulation and examination by the OCC. MSPBNA offers certain mortgage and other secured lending products primarily for customers of its affiliate retail broker-dealer, Morgan Stanley Smith Barney LLC (?MSSB LLC?). MSPBNA also offers
certain deposit products, as well as prime brokerage custody services.",Neutral,,,
10-K,MORGAN STANLEY,895421,2014-FY,3/2/2015,Morgan Stanley,,agent,"Sanctions that may be imposed for such failure include the suspension
of individual employees, limitations on the Company engaging in various asset management activities for specified periods of time or specified types of clients, the revocation of registrations, other censures and significant fines. In order to
facilitate its asset management business, the Company owns a registered U.S. broker-dealer, Morgan Stanley Distribution, Inc., which acts as distributor to the Morgan Stanley mutual funds and as placement agent to certain private investment funds
managed by the Company?s Investment Management business segment. A number of legal entities within the Company?s Investment Management business are registered as commodity trading advisors and/or commodity pool operators, or are operating
under certain exemptions from such registration pursuant to CFTC rules and other guidance.",Neutral,,,
10-K,MORGAN STANLEY,895421,2014-FY,3/2/2015,The Prudential Insurance Company of America,,affiliates,"On July 16, 2014, plaintiffs filed a notice of appeal of that decision, which has been consolidated with the
appeal of the motion to dismiss. On April 25, 2012, The
Prudential Insurance Company of America and certain affiliates filed a complaint against the Company and certain affiliates in the Superior Court of the State of New Jersey, styled The Prudential Insurance Company of America, et al. v. Morgan
Stanley, et al. On October 16, 2012, plaintiffs filed an amended complaint. The amended complaint alleges that defendants made untrue statements and material omissions in connection with the sale to plaintiffs of certain mortgage pass-through
certificates backed by securitization trusts containing residential mortgage loans.",Highly relevant,Key Word: Complaint,,
10-K,MORGAN STANLEY,895421,2014-FY,3/2/2015,Morgan Stanley,,affiliates,"On July 16, 2014, plaintiffs filed a notice of appeal of that decision, which has been consolidated with the
appeal of the motion to dismiss. On April 25, 2012, The
Prudential Insurance Company of America and certain affiliates filed a complaint against the Company and certain affiliates in the Superior Court of the State of New Jersey, styled The Prudential Insurance Company of America, et al. v. Morgan
Stanley, et al. On October 16, 2012, plaintiffs filed an amended complaint. The amended complaint alleges that defendants made untrue statements and material omissions in connection with the sale to plaintiffs of certain mortgage pass-through
certificates backed by securitization trusts containing residential mortgage loans.",Highly relevant,,,
10-K,MORGAN STANLEY,895421,2014-FY,3/2/2015,U.S. Bank,,Trustee,"On January 2, 2015, the court denied defendants? renewed motion to dismiss the amended complaint.
On August 7, 2012, U.S. Bank, in its capacity as Trustee, filed a
complaint on behalf of Morgan Stanley Mortgage Loan Trust 2006-4SL and Mortgage Pass-Through Certificates, Series 2006-4SL (together, the ?Trust?) against the Company. The matter is styled Morgan Stanley Mortgage Loan Trust 2006-4SL, et
al. v. Morgan Stanley Mortgage Capital Inc. and is pending in the Supreme Court of NY.",Highly relevant,Who are the defendants?  Are they Morgan Stanley?,,
10-K,MORGAN STANLEY,895421,2014-FY,3/2/2015,Morgan Stanley Mortgage Loan Trust 2006-4SL,,Trustee,"On January 2, 2015, the court denied defendants? renewed motion to dismiss the amended complaint.
On August 7, 2012, U.S. Bank, in its capacity as Trustee, filed a
complaint on behalf of Morgan Stanley Mortgage Loan Trust 2006-4SL and Mortgage Pass-Through Certificates, Series 2006-4SL (together, the ?Trust?) against the Company. The matter is styled Morgan Stanley Mortgage Loan Trust 2006-4SL, et
al. v. Morgan Stanley Mortgage Capital Inc. and is pending in the Supreme Court of NY.",Highly relevant,,,
10-K,MORGAN STANLEY,895421,2014-FY,3/2/2015,"Mortgage Pass-Through Certificates, Series 2006-4SL",,Trustee,"On January 2, 2015, the court denied defendants? renewed motion to dismiss the amended complaint.
On August 7, 2012, U.S. Bank, in its capacity as Trustee, filed a
complaint on behalf of Morgan Stanley Mortgage Loan Trust 2006-4SL and Mortgage Pass-Through Certificates, Series 2006-4SL (together, the ?Trust?) against the Company. The matter is styled Morgan Stanley Mortgage Loan Trust 2006-4SL, et
al. v. Morgan Stanley Mortgage Capital Inc. and is pending in the Supreme Court of NY.",Highly relevant,,,
10-K,MORGAN STANLEY,895421,2014-FY,3/2/2015,U.S. Bank,,Trustee,"On August 8, 2014, the court granted in part and denied in part the defendants? motion to dismiss.
On August 8, 2012, U.S. Bank, in its capacity as Trustee, filed a complaint on behalf of Morgan Stanley Mortgage Loan Trust 2006-14SL, Mortgage
Pass-Through Certificates, Series 2006-14SL, Morgan Stanley Mortgage Loan Trust 2007-4SL and Mortgage Pass-Through Certificates, Series 2007-4SL against the Company. The complaint is styled Morgan Stanley Mortgage Loan Trust 2006-14SL, et al. v.
Morgan Stanley Mortgage Capital Holdings LLC, as successor in interest to Morgan Stanley Mortgage Capital Inc .",Highly relevant,,,
10-K,MORGAN STANLEY,895421,2014-FY,3/2/2015,Morgan Stanley Mortgage Loan Trust 2006-14SL,,Trustee,"On August 8, 2014, the court granted in part and denied in part the defendants? motion to dismiss.
On August 8, 2012, U.S. Bank, in its capacity as Trustee, filed a complaint on behalf of Morgan Stanley Mortgage Loan Trust 2006-14SL, Mortgage
Pass-Through Certificates, Series 2006-14SL, Morgan Stanley Mortgage Loan Trust 2007-4SL and Mortgage Pass-Through Certificates, Series 2007-4SL against the Company. The complaint is styled Morgan Stanley Mortgage Loan Trust 2006-14SL, et al. v.
Morgan Stanley Mortgage Capital Holdings LLC, as successor in interest to Morgan Stanley Mortgage Capital Inc .",Highly relevant,,,
