"DOCUMENT_TYPE","FILER_NAME","FILER_CIK","FILING_INTERVAL","FILING_DATE","MENTIONED_FINANCIAL_ENTITY","PP_RSSD_ID","ROLE","THREE_SENTENCES","RATING_EXPERT_3","COMMENT_EXPERT_3","RATING_EXPERT_1","COMMENT_EXPERT_1"
"10-K","M&T BANK CORP","36270","m&t-2012","2/25/2013","Equity Securities","","Issuer","Item 5.
Market for Registrant?s Common Equity, Related Shareholder Matters and Issuer Purchases of Equity Securities
36-39","Irrelevant","","Irrelevant",""
"10-K","M&T BANK CORP","36270","m&t-2012","2/25/2013","M&T Securities","","agent","M&T Securities is registered as a broker/dealer under the Securities Exchange Act of 1934, as amended, and as an investment advisor under the Investment Advisors Act of 1940, as
amended (the ?Investment Advisors Act?). M&T Securities is licensed as a life insurance agent in each state where M&T Bank operates branch offices and in a number of other states. It provides securities brokerage, investment
advisory and insurance services.","Neutral","","Neutral",""
"10-K","M&T BANK CORP","36270","m&t-2012","2/25/2013","M&T Bank","","agent","M&T Securities is registered as a broker/dealer under the Securities Exchange Act of 1934, as amended, and as an investment advisor under the Investment Advisors Act of 1940, as
amended (the ?Investment Advisors Act?). M&T Securities is licensed as a life insurance agent in each state where M&T Bank operates branch offices and in a number of other states. It provides securities brokerage, investment
advisory and insurance services.","Neutral","Business activities","Neutral",""
"10-K","M&T BANK CORP","36270","m&t-2012","2/25/2013","M&T","","Affiliates","The FDIC may decline to enforce the cross-guarantee provisions if it determines that a waiver is in the
best interest of the DIF. Transactions with Affiliates There are various legal restrictions on the extent to which M&T and its non-bank subsidiaries may borrow or otherwise obtain funding from M&T Bank and Wilmington Trust, N.A. In general, Sections
23A and 23B of the Federal Reserve Board Act and Federal Reserve Board Regulation W require that any ?covered transaction? by M&T Bank and Wilmington Trust, N.A. (or any of their respective subsidiaries) with an affiliate must be
secured by designated amounts of specified collateral and must be limited to (a) in the case of any single such affiliate, the aggregate amount of covered transactions of the insured depository institution and its subsidiaries may not exceed
10% of the capital stock and surplus of such insured depository institution, and (b) in the case of all affiliates, the aggregate amount of covered transactions of an insured depository institution and its subsidiaries may not exceed 20% of the
capital stock and surplus of such insured depository institution. The Dodd-Frank Act significantly expanded the coverage and scope of the limitations on affiliate transactions within a banking organization, including for example, the requirement
that the 10% of capital limit on covered transactions begin to apply to financial subsidiaries.","Irrelevant","Same as the cell below.","Irrelevant",""
"10-K","M&T BANK CORP","36270","m&t-2012","2/25/2013","M&T Bank","","Affiliates","The FDIC may decline to enforce the cross-guarantee provisions if it determines that a waiver is in the
best interest of the DIF. Transactions with Affiliates There are various legal restrictions on the extent to which M&T and its non-bank subsidiaries may borrow or otherwise obtain funding from M&T Bank and Wilmington Trust, N.A. In general, Sections
23A and 23B of the Federal Reserve Board Act and Federal Reserve Board Regulation W require that any ?covered transaction? by M&T Bank and Wilmington Trust, N.A. (or any of their respective subsidiaries) with an affiliate must be
secured by designated amounts of specified collateral and must be limited to (a) in the case of any single such affiliate, the aggregate amount of covered transactions of the insured depository institution and its subsidiaries may not exceed
10% of the capital stock and surplus of such insured depository institution, and (b) in the case of all affiliates, the aggregate amount of covered transactions of an insured depository institution and its subsidiaries may not exceed 20% of the
capital stock and surplus of such insured depository institution. The Dodd-Frank Act significantly expanded the coverage and scope of the limitations on affiliate transactions within a banking organization, including for example, the requirement
that the 10% of capital limit on covered transactions begin to apply to financial subsidiaries.","Irrelevant","","Irrelevant",""
"10-K","M&T BANK CORP","36270","m&t-2012","2/25/2013","Wilmington Trust, N.A.","","Affiliates","The FDIC may decline to enforce the cross-guarantee provisions if it determines that a waiver is in the
best interest of the DIF. Transactions with Affiliates There are various legal restrictions on the extent to which M&T and its non-bank subsidiaries may borrow or otherwise obtain funding from M&T Bank and Wilmington Trust, N.A. In general, Sections
23A and 23B of the Federal Reserve Board Act and Federal Reserve Board Regulation W require that any ?covered transaction? by M&T Bank and Wilmington Trust, N.A. (or any of their respective subsidiaries) with an affiliate must be
secured by designated amounts of specified collateral and must be limited to (a) in the case of any single such affiliate, the aggregate amount of covered transactions of the insured depository institution and its subsidiaries may not exceed
10% of the capital stock and surplus of such insured depository institution, and (b) in the case of all affiliates, the aggregate amount of covered transactions of an insured depository institution and its subsidiaries may not exceed 20% of the
capital stock and surplus of such insured depository institution. The Dodd-Frank Act significantly expanded the coverage and scope of the limitations on affiliate transactions within a banking organization, including for example, the requirement
that the 10% of capital limit on covered transactions begin to apply to financial subsidiaries.","Irrelevant","","Irrelevant",""
"10-K","M&T BANK CORP","36270","m&t-2012","2/25/2013","M&T","","trustee","Mr. Jones has held a number of
management positions within M&T Bank?s Finance Division since 1992. Mr. Jones is an executive vice president and chief financial officer (2005) and a director (2007) of Wilmington Trust, N.A., and he is chairman of the board,
president (2009) and a trustee (2005) of M&T Real Estate. He is a director of M&T Insurance Agency (2007) and M&T Securities (2005).","Neutral","","Neutral",""
"10-K","M&T BANK CORP","36270","m&t-2012","2/25/2013","M&T","","trustee","Mr. Warman previously served as senior vice president of M&T Bank and has held a number of management positions within M&T Bank since 1995. He is an executive vice president and treasurer of Wilmington Trust, N.A. (2008), a
trustee of M&T Real Estate (2009) and a director of M&T Securities (2008).
PART II","Neutral","","Neutral",""
"10-K","M&T BANK CORP","36270","m&t-2012","2/25/2013","M&T Securities","","trustee","Mr. Warman previously served as senior vice president of M&T Bank and has held a number of management positions within M&T Bank since 1995. He is an executive vice president and treasurer of Wilmington Trust, N.A. (2008), a
trustee of M&T Real Estate (2009) and a director of M&T Securities (2008).
PART II","Neutral","","Neutral",""
"10-K","M&T BANK CORP","36270","m&t-2012","2/25/2013","Equity Securities","","Issuer","Item 5.
Market for Registrant?s Common Equity, Related Shareholder Matters and Issuer Purchases of Equity Securities.
M&T?s common stock is traded under the symbol MTB on the New York Stock Exchange.","Neutral","Ticker symbol","Neutral",""
