"DOCUMENT_TYPE","FILER_NAME","FILER_CIK","FILING_INTERVAL","FILING_DATE","MENTIONED_FINANCIAL_ENTITY","PP_RSSD_ID","ROLE","THREE_SENTENCES","RATING_EXPERT_6","COMMENT_EXPERT_6"
"10-K","PNC FINANCIAL SERVICES GROUP INC","713676","2015-FY","2/29/2016","PNC","","affiliates","This supervisory framework, including the
examination reports and supervisory ratings (which are not publicly available) of the agencies, could materially impact the conduct, growth and profitability of our operations. The Consumer Financial Protection Bureau (CFPB) is responsible for examining PNC Bank and its affiliates (including PNC) for compliance with most federal consumer financial protection laws, including the
laws relating to fair lending and prohibiting unfair, deceptive or abusive acts or practices in connection with the offer, sale or provision of consumer financial products or services, and for enforcing such laws with respect to PNC Bank and its
affiliates. The results of the CFPB?s examinations, which are not publicly available, also can result in restrictions or limitations on the operations of a regulated entity as well as enforcement actions against a regulated entity, including
the imposition of substantial monetary penalties and nonmonetary requirements.","Neutral","Note: This assumes PNC is an affiliate of itself, which is consistent with the text and example training data."
"10-K","PNC FINANCIAL SERVICES GROUP INC","713676","2015-FY","2/29/2016","PNC Bank","","affiliates","enforcement action against the bank if an acceptable plan is not submitted or the bank fails to comply with an approved plan. Sections 23A and 23B of the Federal Reserve Act and the Federal Reserve?s implementing regulation, Regulation W, place quantitative and qualitative restrictions on covered transactions between a bank
and its affiliates (for example between PNC Bank, on the one hand, and PNC and its nonbank subsidiaries, on the other hand). In general, section 23A and Regulation W limit the total amount of covered transactions between a bank and any single
affiliate to 10 percent of the bank?s capital stock and surplus, limit the total amount of covered transactions between a bank and all its affiliates to 20 percent of the bank?s capital stock and surplus, prohibit a bank from purchasing
low-quality assets from an affiliate, and require certain covered transactions to be secured with prescribed amounts of collateral.","Highly relevant",""
"10-K","PNC FINANCIAL SERVICES GROUP INC","713676","2015-FY","2/29/2016","PNC","","affiliates","enforcement action against the bank if an acceptable plan is not submitted or the bank fails to comply with an approved plan. Sections 23A and 23B of the Federal Reserve Act and the Federal Reserve?s implementing regulation, Regulation W, place quantitative and qualitative restrictions on covered transactions between a bank
and its affiliates (for example between PNC Bank, on the one hand, and PNC and its nonbank subsidiaries, on the other hand). In general, section 23A and Regulation W limit the total amount of covered transactions between a bank and any single
affiliate to 10 percent of the bank?s capital stock and surplus, limit the total amount of covered transactions between a bank and all its affiliates to 20 percent of the bank?s capital stock and surplus, prohibit a bank from purchasing
low-quality assets from an affiliate, and require certain covered transactions to be secured with prescribed amounts of collateral.","Highly relevant",""
"10-K","PNC FINANCIAL SERVICES GROUP INC","713676","2015-FY","2/29/2016","PNC","","servicers","The CFPB has issued new rules for mortgage origination and mortgage servicing. Both the origination and servicing rules create new private rights of action for consumers against lenders and servicers like
PNC in the event of certain violations. For additional information concerning the mortgage rules, see Supervision and Regulation in Item 1 of this Report.","Neutral",""
"10-K","PNC FINANCIAL SERVICES GROUP INC","713676","2015-FY","2/29/2016","Computershare Trust Company, N.A.","","agent","We include here by
reference the information regarding our compensation plans under which PNC equity securities are authorized for issuance as of December 31, 2015 in the table (with introductory paragraph and notes) that appears under the caption ?Approval
of 2016 Incentive Award Plan ? Item 3? in our Proxy Statement to be filed for the 2016 annual meeting of shareholders and is incorporated by reference herein and in Item 12 of this Report.
Our stock transfer agent and registrar is:
Computershare Trust Company, N.A. 250 Royall
Street Canton, MA 02021
800-982-7652 Registered shareholders may
contact the above phone number regarding dividends and other shareholder services.We include here by reference the information that appears under the Common Stock Performance Graph caption
at the end of this Item 5.","Relevant",""
"10-K","PNC FINANCIAL SERVICES GROUP INC","713676","2015-FY","2/29/2016","PNC","","insurer","PNC retains select corporate risks through its wholly-owned captive insurance company Alpine Indemnity Limited, and transfers excess risk through the purchase
of insurance where appropriate, to mitigate the effects of operational loss events. PNC?s risks associated with its participation as an insurer for these programs are mitigated through policy and annual aggregate limits. Decisions surrounding
PNC?s retention of its operating risks through deductibles or captive participation are made in conjunction with the enterprise risk management governance framework.","Relevant","Though this seems relevant, it looks like the entity Alpine Indemnity Limited was missed."
"10-K","PNC FINANCIAL SERVICES GROUP INC","713676","2015-FY","2/29/2016","PNC Bank","","affiliate","by the U.S. banking agencies, and final rules issued by the Federal Reserve that make certain modifications to the Federal Reserve?s capital planning and stress testing rules.
See Table 37 for information on an affiliate purchase of notes issued by PNC Bank during 2015. Parent Company Liquidity ? Sources The principal source of parent company liquidity
is the dividends it receives from its subsidiary bank, which may be impacted by the following:","Relevant",""
"10-K","PNC FINANCIAL SERVICES GROUP INC","713676","2015-FY","2/29/2016","PNC Bank","","issuer","In the second
quarter of 2015, Moody?s concluded its review for PNC and PNC Bank under this new methodology. As a result, Moody?s upgraded PNC Bank?s long-term deposit rating three notches to Aa2, confirmed PNC Bank?s senior debt and issuer
ratings at A2, and confirmed PNC Bank?s Prime-1 short-term notes rating. The Moody?s rating outlook for PNC and PNC Bank is stable.","Highly relevant",""
"10-K","PNC FINANCIAL SERVICES GROUP INC","713676","2015-FY","2/29/2016","FHA","","issuer","FNMA and FHLMC generally securitize our transferred loans into mortgage-backed securities for sale into the secondary market through special purpose entities (SPEs) that they sponsor. We, as an
authorized GNMA issuer/servicer, pool Federal Housing Administration (FHA) and Department of Veterans Affairs (VA) insured loans into mortgage-backed securities for sale into the secondary market. In Non-agency securitizations, we have transferred
loans into securitization SPEs.","Relevant","The entities FNMA and FHLMC seemed to be missed."
"10-K","PNC FINANCIAL SERVICES GROUP INC","713676","2015-FY","2/29/2016","Department of Veterans Affairs","","issuer","FNMA and FHLMC generally securitize our transferred loans into mortgage-backed securities for sale into the secondary market through special purpose entities (SPEs) that they sponsor. We, as an
authorized GNMA issuer/servicer, pool Federal Housing Administration (FHA) and Department of Veterans Affairs (VA) insured loans into mortgage-backed securities for sale into the secondary market. In Non-agency securitizations, we have transferred
loans into securitization SPEs.","Relevant",""
