"DOCUMENT_TYPE","FILER_NAME","FILER_CIK","FILING_INTERVAL","FILING_DATE","MENTIONED_FINANCIAL_ENTITY","PP_RSSD_ID","ROLE","THREE_SENTENCES","RATING_EXPERT_4","COMMENT_EXPERT_4","RATING_EXPERT_1","COMMENT_EXPERT_1"
"10-K","STATE STREET CORP","93751","2013-FY","2/21/2014","Equity Securities","","Issuer","Portions of the following documents are incorporated by reference into Parts of this Report on Form 10-K, to the extent noted in such Parts, as indicated below: (1) The registrant?s definitive Proxy Statement for the 2014 Annual Meeting of Shareholders to be filed pursuant to Regulation 14A on or before April 29, 2014 (Part III). STATE STREET CORPORATION Table of Contents PART I Item 1 Business 3 Item 1A Risk Factors 16 Item 1B Unresolved Staff Comments 38 Item 2 Properties 39 Item 3 Legal Proceedings 40 Item 4 Mine Safety Disclosures 42 Executive Officers of the Registrant 43 PART II Item 5 Market for Registrant?s Common Equity, Related Stockholder Matters and Issuer Purchases of Equity Securities 44 Item 6 Selected Financial Data 48 Item 7 Management?s Discussion and Analysis of Financial Condition and Results of Operations 49 Item 7A Quantitative and Qualitative Disclosures About Market Risk 118 Item 8 Financial Statements and Supplementary Data 118 Item 9 Changes in and Disagreements with Accountants on Accounting and Financial Disclosure 204 Item 9A Controls and Procedures 204 Item 9B Other Information 206 PART III Item 10 Directors, Executive Officers and Corporate Governance 206 Item 11 Executive Compensation 206 Item 12 Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters 206 Item 13 Certain Relationships and Related Transactions, and Director Independence 207 Item 14 Principal Accounting Fees and Services 207 PART IV Item 15 Exhibits, Financial Statement Schedules 207 SIGNATURES 208 EXHIBIT INDEX 209 Table of Contents PART I ITEM 1. BUSINESS GENERAL State Street Corporation, the parent company, is a financial holding company organized in 1969 under the laws of the Commonwealth of Massachusetts.","Irrelevant","","Irrelevant",""
"10-K","STATE STREET CORP","93751","2013-FY","2/21/2014","State Street Bank","","affiliates","As of December 31, 2013 , the capital of each of these banking subsidiaries exceeded the minimum legal capital requirements set by those regulatory authorities. We and our subsidiaries that are not subsidiaries of State Street Bank are affiliates of State Street Bank under federal banking laws, which impose restrictions on various types of transactions, including loans, extensions of credit, investments or asset purchases by or from State Street Bank, on the one hand, to us and those of our subsidiaries, on the other. Transactions of this kind between State Street Bank and its affiliates are limited with respect to each affiliate to 10% of State Street Bank?s capital and surplus, as defined by the aforementioned banking laws, and to 20% in the aggregate for all affiliates, and in some cases are also subject to strict collateral requirements.","","","Relevant",""
"10-K","STATE STREET CORP","93751","2013-FY","2/21/2014","State Street Bank","","affiliates","As of December 31, 2013 , the capital of each of these banking subsidiaries exceeded the minimum legal capital requirements set by those regulatory authorities. We and our subsidiaries that are not subsidiaries of State Street Bank are affiliates of State Street Bank under federal banking laws, which impose restrictions on various types of transactions, including loans, extensions of credit, investments or asset purchases by or from State Street Bank, on the one hand, to us and those of our subsidiaries, on the other. Transactions of this kind between State Street Bank and its affiliates are limited with respect to each affiliate to 10% of State Street Bank?s capital and surplus, as defined by the aforementioned banking laws, and to 20% in the aggregate for all affiliates, and in some cases are also subject to strict collateral requirements.","Relevant","","Relevant",""
"10-K","STATE STREET CORP","93751","2013-FY","2/21/2014","State Street Bank","","affiliates","We and our subsidiaries that are not subsidiaries of State Street Bank are affiliates of State Street Bank under federal banking laws, which impose restrictions on various types of transactions, including loans, extensions of credit, investments or asset purchases by or from State Street Bank, on the one hand, to us and those of our subsidiaries, on the other. Transactions of this kind between State Street Bank and its affiliates are limited with respect to each affiliate to 10% of State Street Bank?s capital and surplus, as defined by the aforementioned banking laws, and to 20% in the aggregate for all affiliates, and in some cases are also subject to strict collateral requirements. Under the Dodd-Frank Act, effective in July 2012, derivatives, securities borrowing and securities lending transactions between State Street Bank and its affiliates became subject to these restrictions.","Relevant","","Relevant",""
"10-K","STATE STREET CORP","93751","2013-FY","2/21/2014","State Street","","counterparty","Management's expectations and assumptions, and the continued validity of the forward-looking statements, are subject to change due to a broad range of factors affecting the national and global economies, the equity, debt, currency and other financial markets, as well as factors specific to State Street and its subsidiaries, including State Street Bank. Factors that could cause changes in the expectations or assumptions on which forward-looking statements are based cannot be foreseen with certainty and include, but are not limited to: * the financial strength and continuing viability of the counterparties with which we or our clients do business and to which we have investment, credit or financial exposure, including, for example, the direct and indirect effects on counterparties of the sovereign-debt risks in the U.S., Europe and other regions; * increases in the volatility of, or declines in the level of, our net interest revenue, changes in the composition or valuation of the assets recorded in our consolidated statement of condition (and our ability to measure the fair value of investment securities) and the possibility that we may change the manner in which we fund those assets; * the liquidity of the U.S. and international securities markets, particularly the markets for fixed-income securities and inter-bank credits, and the liquidity requirements of our clients; * the level and volatility of interest rates and the performance and volatility of securities, credit, currency and other markets in the U.S. and internationally; * the credit quality, credit-agency ratings and fair values of the securities in our investment securities portfolio, a deterioration or downgrade of which could lead to other-than-temporary impairment of the respective securities and the recognition of an impairment loss in our consolidated statement of income; * our ability to attract deposits and other low-cost, short-term funding, and our ability to deploy deposits in a profitable manner consistent with our liquidity requirements and risk profile; * the manner and timing with which the Federal Reserve and other U.S. and foreign regulators implement the Dodd-Frank Act changes to the Basel III capital framework and European legislation, such as the Alternative Investment Fund Managers Directive and Undertakings for Collective Investment in Transferable Securities Directives, with respect to the levels of regulatory capital we must maintain, our credit exposure to third parties, margin requirements applicable to derivatives, banking and financial activities and other regulatory initiatives in the U.S. and internationally, including regulatory developments that result in changes to our structure or operating model, increased costs or other changes to how we provide services; * adverse changes in the regulatory capital ratios that we are required or will be required to meet, whether arising under the Dodd-Frank Act or the Basel III capital and liquidity standards, or due to changes in regulatory positions, practices or regulations in jurisdictions in which we engage in banking activities, including changes in internal or external data, formulae, models, assumptions or other advanced systems used in the calculation of our capital ratios that cause changes in those ratios as they are measured from period to period; * increasing requirements to obtain the prior approval of the Federal Reserve or our other regulators for the use, allocation or distribution of our capital or other specific capital actions or programs, including acquisitions, dividends and equity purchases, without which our growth plans, distributions to shareholders, equity purchase programs or other capital initiatives may be restricted; * changes in law or regulation, or the enforcement of law or regulation, that may adversely affect our business activities or those of our clients or our counterparties, and the products or services that we sell, including additional or increased taxes or assessments thereon, capital adequacy requirements, margin requirements and changes that expose us to risks related to the adequacy of our controls or compliance programs; * financial market disruptions or economic recession, whether in the U.S., Europe, Asia or other regions; * our ability to promote a strong culture of risk management, operating controls, compliance oversight and governance that meet our expectations and those of our clients and our regulators; * the results of, and costs associated with, government investigations, litigation and similar claims, disputes, or proceedings; 17 Table of Contents * delays or difficulties in the execution of our previously announced Business Operations and Information Technology Transformation program, which could lead to changes in our estimates of the charges, expenses or savings associated with the planned program and may cause volatility of our earnings; * the potential for losses arising from our investments in sponsored investment funds; * the possibility that our clients will incur substantial losses in investment pools for which we act as agent, and the possibility of significant reductions in the liquidity or valuation of assets underlying those pools; * our ability to anticipate and manage the level and timing of redemptions and withdrawals from our collateral pools and other collective investment products; * the credit agency ratings of our debt and depository obligations and investor and client perceptions of our financial strength; * adverse publicity, whether specific to State Street or regarding other industry participants or industry-wide factors, or other reputational harm; * our ability to control operational risks, data security breach risks and outsourcing risks, and our ability to protect our intellectual property rights, the possibility of errors in the quantitative models we use to manage our business and the possibility that our controls will prove insufficient, fail or be circumvented; * dependencies on information technology and our ability to control related risks, including cyber-crime and other threats to our information technology infrastructure and systems and their effective operation both independently and with external systems, and complexities and costs of protecting the security of our systems and data; * our ability to grow revenue, control expenses, attract and retain highly skilled people and raise the capital necessary to achieve our business goals and comply with regulatory requirements; * changes or potential changes to the competitive environment, including changes due to regulatory and technological changes, the effects of industry consolidation and perceptions of State Street as a suitable service provider or counterparty; * changes or potential changes in how and in what amounts clients compensate us for our services, and the mix of services provided by us that clients choose; * our ability to complete acquisitions, joint ventures and divestitures, including the ability to obtain regulatory approvals, the ability to arrange financing as required and the ability to satisfy closing conditions; * the risks that our acquired businesses and joint ventures will not achieve their anticipated financial and operational benefits or will not be integrated successfully, or that the integration will take longer than anticipated, that expected synergies will not be achieved or unexpected negative synergies will be experienced, that client and deposit retention goals will not be met, that other regulatory or operational challenges will be experienced, and that disruptions from the transaction will harm our relationships with our clients, our employees or regulators; * our ability to recognize emerging needs of our clients and to develop products that are responsive to such trends and profitable to us, the performance of and demand for the products and services we offer, and the potential for new products and services to impose additional costs on us and expose us to increased operational risk; * changes in accounting standards and practices; and * changes in tax legislation and in the interpretation of existing tax laws by U.S. and non-U.S. tax authorities that affect the amount of taxes due. Actual outcomes and results may differ materially from what is expressed in our forward-looking statements and from our historical financial results due to the factors discussed in this section and elsewhere in this Form 10-K or disclosed in our other SEC filings.","Relevant","","Relevant",""
"10-K","STATE STREET CORP","93751","2013-FY","2/21/2014","State Street","","agent","The following discussion provides information with respect to significant legal and regulatory matters. SSgA We have previously reported on two related ERISA class actions by investors in unregistered SSgA-managed collective trust funds and common trust funds which challenge the division of our securities lending-related revenue between those funds and State Street in its role as lending agent. In January 2014, we filed a motion to approve a $10 million class settlement of the collective trust fund litigation.","Relevant","","Highly relevant",""
"10-K","STATE STREET CORP","93751","2013-FY","2/21/2014","EQUITY SECURITIES MARKET","","ISSUER","PART II ITEM 5. MARKET FOR REGISTRANT?S COMMON EQUITY, RELATED STOCKHOLDER MATTERS AND ISSUER PURCHASES OF EQUITY SECURITIES MARKET FOR REGISTRANT'S COMMON EQUITY Our common stock is listed on the New York Stock Exchange under the ticker symbol STT. There were 3,269 shareholders of record as of January 31, 2014 .","Relevant","","Neutral",""
"10-K","STATE STREET CORP","93751","2013-FY","2/21/2014","State Street","","agent","(2) Includes both floating- and constant-net-asset-value portfolios held in commingled structures or separate accounts. (3) Includes real estate investment trusts, currency and commodities, including SPDR ? Gold Fund for which State Street is not the investment manager, but acts as distribution agent. The decline in this asset class as of December 31, 2013 compared to December 31, 2012 mainly resulted from net outflows from the SPDR ? Gold Fund related to lower average gold prices.","Relevant","","Relevant",""
"10-K","STATE STREET CORP","93751","2013-FY","2/21/2014","State Street","","agent","In some cases, the investment vehicles or managed accounts may be managed by SSgA. The spread between the yield on the investment vehicle and the usage fee paid to the provider of the collateral is split between the lender of the securities and State Street as agent. For non-cash collateral, the borrower pays a fee for the loaned securities, and the fee is split between the lender of the securities and State Street.","Relevant","","Relevant",""
"10-K","STATE STREET CORP","93751","2013-FY","2/21/2014","New York","","Issuer","As of the same date, we also provided approximately $8.16 billion of credit and liquidity facilities to municipal issuers as a form of credit enhancement. The following tables present our combined credit exposure to state and municipal obligors that represented 5% or more of our aggregate municipal credit exposure of approximately $18.45 billion and $16.12 billion across our businesses as of December 31, 2013 and 2012 , respectively, grouped by state to display geographic dispersion: 78 Table of Contents MANAGEMENT?S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS (Continued) December 31, 2013 Total Municipal Securities Credit and Liquidity Facilities Total % of Total Municipal Exposure (Dollars in millions) State of Issuer: Texas $ 1,233 $ 1,628 $ 2,861 16 % New York 919 1,000 1,919 10 Massachusetts 967 759 1,726 9 California 373 1,266 1,639 9 Maryland 327 643 970 5 Total $ 3,819 $ 5,296 $ 9,115 December 31, 2012 Total Municipal Securities Credit and Liquidity Facilities Total % of Total Municipal Exposure (Dollars in millions) State of Issuer: Texas $ 1,091 $ 1,957 $ 3,048 19 % New York 486 973 1,459 9 Massachusetts 869 508 1,377 9 California 190 1,158 1,348 8 New Jersey 867 - 867 5 Florida 148 680 828 5 Total $ 3,651 $ 5,276 $ 8,927 Our aggregate municipal securities exposure presented in the foregoing table was concentrated primarily with highly-rated counterparties, with approximately 84% of the obligors rated ""AAA"" or ""AA"" as of December 31, 2013 . As of that date, approximately 64% and 34% of our aggregate exposure was associated with general obligation and revenue bonds, respectively.","Neutral","","Relevant",""
