"DOCUMENT_TYPE","FILER_NAME","FILER_CIK","FILING_INTERVAL","FILING_DATE","MENTIONED_FINANCIAL_ENTITY","PP_RSSD_ID","ROLE","THREE_SENTENCES","RATING_EXPERT_2","COMMENT_EXPERT_2","RATING_EXPERT_1","COMMENT_EXPERT_1"
"10-K","SUNTRUST BANKS INC","750556","2012-FY","2/27/2013","Equity Securities","","Issuer","26 Item 4: Mine Safety Disclosures. 26 PART II Item 5: Market for Registrant's Common Equity, Related Stockholder Matters, and Issuer Purchases of Equity Securities. 27 Item 6: Selected Financial Data.","Irrelevant","""-1-1-1""","Irrelevant",""
"10-K","SUNTRUST BANKS INC","750556","2012-FY","2/27/2013","EQUITY SECURITIES","","ISSUER","26 PART II Item 5. MARKET FOR REGISTRANT?S COMMON EQUITY, RELATED STOCKHOLDER MATTERS AND ISSUER PURCHASES OF EQUITY SECURITIES The principal market in which the common stock of the Company is traded is the NYSE. See Item 6 and Table 36 in the MD&A for information on the high and the low sales prices of SunTrust common stock on the NYSE, which is incorporated herein by reference.","Relevant","0.1.0 (Identifies NYSE)","Neutral",""
"10-K","SUNTRUST BANKS INC","750556","2012-FY","2/27/2013","SunTrust","","Counterparty","Following this review, we and the counterparty accelerated the termination of the Agreements. Contemporaneously with entering into the Agreements in 2008, the Coke Counterparty invested in senior unsecured promissory notes issued by the Bank and SunTrust (collectively, the ""Notes"") in a private placement in an aggregate principal amount equal to the Minimum Proceeds. Upon termination of the Agreements, we also repurchased the Notes from the Coke Counterparty, resulting in a $2 million loss recorded as an extinguishment of debt in our Consolidated Statements of Income.","Highly relevant","1.1.1","Highly relevant","Unwinding of Coca Cola position"
"10-K","SUNTRUST BANKS INC","750556","2012-FY","2/27/2013","SunTrust Foundation","","Counterparty","As of December 31, 2012 and 2011 , there were no securities AFS pledged under which the transferee may repledge the collateral. During the year ended December 31, 2012 , the Company accelerated the termination of the Agreements that hedged the Coke common stock, and the Company sold, in the market or to the Coke Counterparty, 59 million of its 60 million shares of Coke and contributed the remaining 1 million shares of Coke to the SunTrust Foundation for a net gain of $1.9 billion . The $38 million contribution to the SunTrust Foundation was recognized in noninterest expense.","Highly relevant","1.1.1","Highly relevant",""
"10-K","SUNTRUST BANKS INC","750556","2012-FY","2/27/2013","Fannie Mae","","seller","See Note 16 , ""Derivative Financial Instruments,"" for further discussion of the Company?s hedging activities. As seller, the Company has made certain representations and warranties with respect to the originally transferred loans, including those transferred under Ginnie Mae, Fannie Mae, and Freddie Mac programs, and those representations and warranties are discussed in Note 17 , ""Reinsurance Arrangements and Guarantees."" In a limited number of securitizations, the Company has received securities representing retained interests in the transferred loans in addition to cash and servicing rights in exchange for the transferred loans. The received securities are carried at fair value as either trading assets or securities AFS.","Relevant","-1.1.1.0","Relevant","It would be Highly Relevant if the size of loans was identified"
"10-K","SUNTRUST BANKS INC","750556","2012-FY","2/27/2013","Freddie Mac","","seller","See Note 16 , ""Derivative Financial Instruments,"" for further discussion of the Company?s hedging activities. As seller, the Company has made certain representations and warranties with respect to the originally transferred loans, including those transferred under Ginnie Mae, Fannie Mae, and Freddie Mac programs, and those representations and warranties are discussed in Note 17 , ""Reinsurance Arrangements and Guarantees."" In a limited number of securitizations, the Company has received securities representing retained interests in the transferred loans in addition to cash and servicing rights in exchange for the transferred loans. The received securities are carried at fair value as either trading assets or securities AFS.","Relevant","-1.1.1.0","Relevant",""
"10-K","SUNTRUST BANKS INC","750556","2012-FY","2/27/2013","SunTrust Foundation","","Counterparty","The Company recognized ineffectiveness gains of $1 million and $2 million during the years ended December 31, 2012 and 2011 , respectively. During 2012, the Company and the Coke Counterparty accelerated the termination of the Agreements, and the Company sold in the market or to the Coke Counterparty 59 million of its 60 million shares of Coke and contributed the remaining 1 million shares to the SunTrust Foundation for a net gain of $1.9 billion , which is net of a $305 million loss related to the derivative contract termination of the Agreements. Upon approval by the Board to terminate the Agreements and sell and donate the Coke shares, the Agreements no longer qualified as cash flow hedges.","Highly relevant","1.1.1","Highly relevant","Unwinding of (very old) position in Coca Cola"
"10-K","SUNTRUST BANKS INC","750556","2012-FY","2/27/2013","SunTrust","","affiliates","The extent of the Company?s obligations under these indemnification agreements depends upon the occurrence of future events; therefore, the Company?s potential future liability under these arrangements is not determinable. STIS and STRH, broker-dealer affiliates of SunTrust, use a common third-party clearing broker to clear and execute their customers' securities transactions and to hold customer accounts. Under their respective agreements, STIS and STRH agree to indemnify the clearing broker for losses that result from a customer's failure to fulfill its contractual obligations.","Relevant","1.1.1","Relevant","Potentially Highly relevant if positin size was identified. Refers to potential future liabilities"
"10-K","SUNTRUST BANKS INC","750556","2012-FY","2/27/2013","Federal Reserve Bank","","issuer","The Company estimates the fair value of this CP based on observable pricing from executed trades of similar instruments; thus, CP is classified as level 2. Equity securities Level 3 equity securities classified as securities AFS include FHLB stock and Federal Reserve Bank stock, which are redeemable with the issuer at cost and cannot be traded in the market. As such, no significant observable market data for these instruments is available.","Relevant","0.1.0","Relevant",""
"10-K","SUNTRUST BANKS INC","750556","2012-FY","2/27/2013","New York","","underwriters","On February 15, 2013, UGRIC filed a motion asking the U.S. Fourth Circuit Court of Appeals to re-hear its appeal. Lehman Brothers Holdings, Inc. Litigation Beginning in October 2008, STRH, along with other underwriters and individuals, were named as defendants in several individual and putative class action complaints filed in the U.S. District Court for the Southern District of New York and state and federal courts in Arkansas, California, Texas and Washington. Plaintiffs allege violations of Sections 11 and 12 of the Securities Act of 1933 for allegedly false and misleading disclosures in connection with various debt and preferred stock offerings of Lehman Brothers Holdings, Inc. (""Lehman Brothers"") and seek unspecified damages.","Relevant","0.1.1","Highly relevant",""
